"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","10788","","OpenLoginTest","","OpenLoginTest","","canOpenLoginFromLoginLinkOnRegistrationPage",""
"passed","","","8612","","CanOpenConstructorTest","","CanOpenConstructorTest","","canOpenConstructorFromHomeLinkOnProfilePage",""
"passed","","","14982","","TabsTest","","TabsTest","","canSelectTabs",""
"passed","","","19113","","OpenLoginTest","","OpenLoginTest","","canOpenLoginFromLoginButtonOnHomePage",""
"passed","","","24356","","OpenLoginTest","","OpenLoginTest","","canOpenLoginFromLoginLinkOnForgotPasswordPage",""
"passed","","","26952","","RegistrationTest","","RegistrationTest","","cannotRegisterUserWithShortPassword",""
"passed","","","8158","","RegistrationTest","","RegistrationTest","","canRegisterUser",""
"passed","","","35234","","OpenLoginTest","","OpenLoginTest","","canOpenLoginFromCabinetLinkOnHomePage",""
"passed","","","21332","","CanLogoutTest","","CanLogoutTest","","canLogout",""
"passed","","","7038","","LoginTest","","LoginTest","","canLogin",""
"passed","","","11140","","CanOpenConstructorTest","","CanOpenConstructorTest","","canOpenConstructorFromConstructorLinkOnProfilePage",""
